contract_num,transaction_date,form_id,brand,model,sub_model,size,color,hardware,material,picture_url,condition,year_stamp_holo_dc,product_year,estimate_amount,actual_price,status,actualprice_status
CN-SYN-0001,2025-01-05 10:00:00,2001,AETHERA,VECTOR,VX-1,M,CARBON,MATTE,BIOWEAVE,https://example.com/syn/2001.jpg,95-98% Premium,AX1200,2021,180000,172000,1,1
CN-SYN-0002,2025-01-06 11:30:00,2002,AETHERA,VECTOR,VX-2,S,PEARL,CHROME,FLEXSKIN,https://example.com/syn/2002.jpg,99% Unused,MPT1,2022,165000,160000,1,1
CN-SYN-0003,2025-01-07 14:10:00,2003,AETHERA,ARC,AX-3,L,COBALT,BRUSHED,COMPOSITE,https://example.com/syn/2003.jpg,94-90% Standard,BL882,2020,158000,149000,1,1
CN-SYN-0004,2025-01-08 09:20:00,2004,NORTHRIDGE,PULSE,NR-P1,M,SAND,MATTE,FLEXSKIN,https://example.com/syn/2004.jpg,95-98% Premium,NR21K,2023,142000,137000,1,1
CN-SYN-0005,2025-01-09 16:40:00,2005,NORTHRIDGE,PULSE,NR-P2,L,DUNE,CHROME,BIOWEAVE,https://example.com/syn/2005.jpg,89-85% Fair,NR19Y,2019,133000,125000,1,1
CN-SYN-0006,2025-01-10 13:05:00,2006,NORTHRIDGE,NOVA,NR-N1,S,EMBER,BRUSHED,SYNTHETIC FIBER,https://example.com/syn/2006.jpg,84-80% Aged,NR17F,2018,119000,111000,1,1
CN-SYN-0007,2025-01-11 12:15:00,2007,ORBITAL ONE,NOVA,OB-N1,M,GLACIER,CHROME,COMPOSITE,https://example.com/syn/2007.jpg,95-98% Premium,OB22A,2024,210000,201000,1,1
CN-SYN-0008,2025-01-12 17:25:00,2008,ORBITAL ONE,ARC,OB-A3,XL,GRAPHITE,MATTE,BIOWEAVE,https://example.com/syn/2008.jpg,94-90% Standard,OB20Q,2020,198000,186000,1,1
CN-SYN-0009,2025-01-13 11:05:00,2009,ORBITAL ONE,VECTOR,OB-V2,S,TEAL,BRUSHED,FLEXSKIN,https://example.com/syn/2009.jpg,79-70% Worn,OB16H,2017,147000,136000,1,1
CN-SYN-0010,2025-01-14 15:55:00,2010,LUMENWORKS,ARC,LU-A1,M,MOSS,CHROME,BIOWEAVE,https://example.com/syn/2010.jpg,95-98% Premium,LU24R,2024,175000,167000,1,1
CN-SYN-0011,2025-01-15 10:35:00,2011,LUMENWORKS,ARC,LU-A2,L,PEARL,MATTE,FLEXSKIN,https://example.com/syn/2011.jpg,100% New,LU25X,2025,182000,178000,1,1
CN-SYN-0012,2025-01-16 12:45:00,2012,LUMENWORKS,PULSE,LU-P3,S,CARBON,BRUSHED,COMPOSITE,https://example.com/syn/2012.jpg,89-85% Fair,LU18D,2018,126000,119000,1,1
CN-SYN-0013,2025-01-17 18:20:00,2013,TERRABYTE,VECTOR,TB-V1,M,COBALT,CHROME,SYNTHETIC FIBER,https://example.com/syn/2013.jpg,95-98% Premium,TB23C,2023,161000,155000,1,1
CN-SYN-0014,2025-01-18 09:50:00,2014,TERRABYTE,VECTOR,TB-V2,L,GRAPHITE,MATTE,COMPOSITE,https://example.com/syn/2014.jpg,94-90% Standard,TB20M,2021,154000,146000,1,1
CN-SYN-0015,2025-01-19 14:00:00,2015,TERRABYTE,NOVA,TB-N4,S,EMBER,BRUSHED,BIOWEAVE,https://example.com/syn/2015.jpg,84-80% Aged,TB17P,2019,118000,109000,1,1
CN-SYN-0016,2025-01-20 10:25:00,2016,POLARIX,ARC,PX-A1,M,GLACIER,CHROME,FLEXSKIN,https://example.com/syn/2016.jpg,95-98% Premium,PX24B,2024,171000,165000,1,1
CN-SYN-0017,2025-01-21 13:45:00,2017,POLARIX,ARC,PX-A2,L,TEAL,MATTE,BIOWEAVE,https://example.com/syn/2017.jpg,94-90% Standard,PX22W,2022,166000,159000,1,1
CN-SYN-0018,2025-01-22 11:10:00,2018,POLARIX,PULSE,PX-P1,S,SAND,BRUSHED,COMPOSITE,https://example.com/syn/2018.jpg,79-70% Worn,PX16T,2016,121000,112000,1,1
CN-SYN-0019,2025-01-23 16:30:00,2019,VERDANIA,NOVA,VD-N1,M,MOSS,CHROME,BIOWEAVE,https://example.com/syn/2019.jpg,95-98% Premium,VD23K,2023,149000,143000,1,1
CN-SYN-0020,2025-01-24 12:05:00,2020,VERDANIA,NOVA,VD-N2,L,DUNE,MATTE,FLEXSKIN,https://example.com/syn/2020.jpg,94-90% Standard,VD21N,2021,145000,138000,1,1
CN-SYN-0021,2025-01-25 08:40:00,2021,VERDANIA,VECTOR,VD-V3,S,CARBON,BRUSHED,SYNTHETIC FIBER,https://example.com/syn/2021.jpg,69-60% Restore,VD14A,2015,99000,91000,1,1
CN-SYN-0022,2025-01-26 17:15:00,2022,CIRRUS LAB,PULSE,CL-P1,M,PEARL,CHROME,COMPOSITE,https://example.com/syn/2022.jpg,95-98% Premium,CL25G,2025,189000,183000,1,1
CN-SYN-0023,2025-01-27 09:05:00,2023,CIRRUS LAB,PULSE,CL-P2,L,EMBER,MATTE,BIOWEAVE,https://example.com/syn/2023.jpg,94-90% Standard,CL23L,2023,176000,168000,1,1
CN-SYN-0024,2025-01-28 15:20:00,2024,CIRRUS LAB,ARC,CL-A7,S,COBALT,BRUSHED,FLEXSKIN,https://example.com/syn/2024.jpg,89-85% Fair,CL20V,2020,151000,0,1,1
CN-SYN-0025,2025-01-29 13:00:00,2025,AETHERA,NOVA,AX-N9,M,CARBON,MATTE,COMPOSITE,https://example.com/syn/2025.jpg,95-98% Premium,AX26G,2026,199000,192000,0,1
CN-SYN-0026,2025-01-30 11:50:00,2026,NORTHRIDGE,VECTOR,NR-V8,M,SAND,CHROME,FLEXSKIN,https://example.com/syn/2026.jpg,95-98% Premium,NR26H,2026,205000,197000,1,0
